Timestamp,Gyro X,Gyro Y,Gyro Z,Acceleration X,Acceleration Y,Acceleration Z,Linear Acceleration X,Linear Acceleration Y,Linear Acceleration Z
1733764556.6558955,,,,16586,199,388,,,
1733764556.6569014,,,,16586,199,388,2069,25,52
1733764556.6745832,39,263,104,16586,199,388,2069,25,52
1733764556.7065406,,,,16565,205,408,,,
1733764556.7099576,,,,16565,205,408,2068,24,47
1733764556.7229068,48,253,125,16565,205,408,2068,24,47
1733764556.7484312,,,,16566,209,407,,,
1733764556.8104293,,,,16566,209,407,2066,25,46
1733764556.952953,30,231,129,16566,209,407,2066,25,46
1733764556.9572833,,,,16589,214,416,,,
1733764556.9665508,,,,16589,214,416,2073,22,48
1733764557.0431159,20,253,111,16589,214,416,2073,22,48
1733764557.0951383,,,,16569,195,385,,,
1733764557.1229742,,,,16569,195,385,2073,26,51
1733764557.1493537,31,252,125,16569,195,385,2073,26,51
1733764557.1508017,,,,16559,211,426,,,
1733764557.152189,,,,16559,211,426,2070,26,51
1733764557.1564329,45,218,111,16559,211,426,2070,26,51
1733764557.1579714,,,,16568,206,417,,,
1733764557.1590335,,,,16568,206,417,2071,26,51
1733764557.162671,39,226,140,16568,206,417,2071,26,51
1733764557.1642241,,,,16571,209,399,,,
1733764557.165589,,,,16571,209,399,2072,25,48
1733764557.1702108,37,254,133,16571,209,399,2072,25,48
1733764557.1713972,,,,16577,207,366,,,
1733764557.173117,,,,16577,207,366,2069,23,51
1733764557.1780872,45,208,124,16577,207,366,2069,23,51
1733764557.180967,,,,,,,2070,24,50
1733764557.1812675,,,,16552,198,393,2070,24,50
1733764557.1865582,65,247,108,16552,198,393,2070,24,50
1733764557.1877575,,,,16563,185,414,,,
1733764557.1888363,,,,16563,185,414,2069,25,47
1733764557.1939917,72,269,122,16563,185,414,2069,25,47
1733764557.1954308,,,,16573,178,424,,,
1733764557.1968753,,,,16573,178,424,2071,23,46
1733764557.2012377,69,264,114,16573,178,424,2071,23,46
1733764557.2027512,,,,16567,205,403,,,
1733764557.2042294,,,,16567,205,403,2070,26,50
1733764557.2104824,48,255,115,16567,205,403,2070,26,50
1733764557.2113903,,,,16570,189,414,,,
1733764557.2127051,,,,16570,189,414,2070,24,47
1733764557.2177846,37,276,115,16570,189,414,2070,24,47
1733764557.2190747,,,,16569,189,397,,,
1733764557.2202265,,,,16569,189,397,2073,27,48
1733764557.225553,41,243,115,16569,189,397,2073,27,48
1733764557.2273736,,,,16552,183,376,,,
1733764557.2313778,,,,16552,183,376,2070,25,49
1733764557.2343125,43,229,117,16552,183,376,2070,25,49
1733764557.2365398,,,,16558,199,373,,,
1733764557.2393973,,,,16558,199,373,2071,26,45
1733764557.244996,,,,16569,207,396,2071,26,45
1733764557.2463434,53,270,130,16569,207,396,2071,26,45
1733764557.246694,,,,,,,2070,27,47
1733764557.2528863,34,276,122,,,,2070,27,47
1733764557.2556624,34,276,122,16538,193,401,2070,27,47
1733764557.257784,,,,,,,2072,22,48
1733764557.2630756,55,219,129,,,,2072,22,48
1733764557.2639554,55,219,129,16532,215,408,2072,22,48
1733764557.265198,,,,,,,2070,25,50
1733764557.2750227,32,242,121,,,,2070,25,50
1733764557.276692,32,242,121,16567,188,379,2070,25,50
1733764557.2784956,,,,,,,2071,25,47
1733764557.2842567,33,263,114,,,,2071,25,47
